ISBN,Authors,Titles
014018189X,Edith Wharton,The Age of Innocence: One of Modern Library's 100 Best Novels (Penguin Twentieth-Century Classics)
0140181903,Edith Wharton,The Custom of the Country (Penguin Twentieth-Century Classics)
0140181997,D. H. Lawrence,Fantasia of the Unconscious and Psychoanalysis and the Unconscious (Penguin Twentieth Century Classics)
0140182004,D. H. Lawrence,John Thomas and Lady Jane: The Hitherto Unpublished Second Version of Lady Chatterley's Lover (Twentieth Century Classics S.)
0140182152,D.H. Lawrence,Sons and Lovers (Twentieth Century Classics S.)
0140182217,D.H. Lawrence,Women in Love (Twentieth Century Classics S.)
0140182551,Arnold Bennett,The Old Wives' Tale (20th Century Classics)
0140182578,Joseph Conrad,Typhoon and Other Stories (20th Century Classics)
0140182594,Bennett,Riceyman Steps (Twentieth Century Classics S.)
0140182748,Jaroslav Hasek,The Good Soldier Svejk and His Fortunes in the World War (Penguin Twentieth-Century Classics)
0140182764,Edmund Gosse,Father and Son (Twentieth Century Classics S.)
0140182780,George Douglas Brown,The House With Green Shutters (Twentieth Century Classics S.)
0140182829,Henri Alain-Fournier,Le Grand Meaulnes (Penguin Classics Series)
0140182853,Maxim Gorky,My Childhood (Twentieth Century Classics S.)
014018287X,Joseph Conrad,Under Western Eyes (Twentieth Century Classics S.)
0140182926,Dorothy Parker,The Collected Dorothy Parker (Twentieth Century Classics S.)
0140182934,John Reed,Ten Days That Shook the World (Penguin Twentieth-Century Classics)
0140182942,Jack Kerouac,On the Road (Penguin Twentieth Century Classics)
0140182985,Elizabeth Bowen,Eva Trout (Twentieth Century Classics S.)
0140183000,Elizabeth Bowen,The Death of the Heart (Penguin Classics)
0140183019,Elizabeth Bowen,The Heat of the Day (Twentieth Century Classics S.)
0140183035,Elizabeth Bowen,The House in Paris (Penguin Twentieth Century Classics)
0140183051,Elizabeth Bowen,The Little Girls (Twentieth Century Classics)
0140183078,L. P. Hartley,The Go-Between (Penguin Twentieth-Century Classics)
0140183132,Rudyard Kipling,Selected Stories (Penguin Twentieth-Century Classics)
0140183167,Rudyard Kipling,The Jungle Books (Penguin Classics)
0140183191,Colette,Gigi and the Cat (Penguin Twentieth-Century Classics)
0140183256,Colette,The Vagabond (Penguin Twentieth-Century Classics)
0140183507,Lytton Strachey,Eminent Victorians (Penguin Twentieth-Century Classics)
0140183515,Rudyard Kipling,Just So Stories (Penguin Twentieth-Century Classics)
0140183523,Rudyard Kipling,Kim (Penguin Classics)
0140183574,Jack London,The Sea-Wolf and Other Stories (Penguin Twentieth-Century Classics)
0140183590,Joseph Conrad,Victory: An Island Tale (Twentieth Century Classics S.)
0140183671,Jon Silkin,The Penguin Book of First World War Poetry (Penguin Twentieth-Century Classics)
014018368X,Jones,Imagist Poetry (Twentieth Century Classics S.)
014018371X,Joseph Conrad,Nostromo a Tale of the Seaboard (Penguin Great Books of the 20th Century)
0140183841,Tennessee Wiliams,Cat on a Hot Tin Roof and Other Plays
0140183884,G.K. Chesterton,The Man Who Was Thursday (20th-Century Classics)
0140183906,Anais Nin,Spy In the House of Love
0140183922,Joseph Conrad,Twixt Land and Sea: Three Tales (Penguin Classics)
0140183957,Mulk Raj Anand,Untouchable (Twentieth Century Classics S.)
0140184023,James Weldon Johnson,The Autobiography of an Ex-Colored Man (Penguin Twentieth Century Classics)
0140184031,James Weldon Johnson,God's Trombones: Seven Negro Sermons in Verse (Penguin Twentieth-Century Classics)
0140184104,D.H. Lawrence,Lady Chatterley's Lover (Twentieth Century Classics S.)
014018421X,Hannah Arendt,On Revolution (Penguin Twentieth-Century Classics)
0140184325,J. M. Synge,The Aran Islands (Penguin Twentieth Century Classics)
0140184422,Alexander Solzhenitsyn,One Day in the Life of Ivan Denisovich (Penguin Twentieth Century Classics S.)
0140184767,Franz Kafka,The Great Wall of China and Other Stories
0140184783,Franz Kafka,The Transformation and Other Stories: Works Published During Kafka's Lifetime (Twentieth-Century Classics)
0140184872,Anita Loos,Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady (Penguin Twentieth-Century Classics)
0140184910,Bernard Malamud,God's Grace (Twentieth Century Classics)
0140184929,Graham Greene,Brighton Rock (Twentieth Century Classics)
0140184937,Graham Greene,Our Man in Havana: An Entertainment (Twentieth Century Classics)
0140184945,Graham Greene,The Comedians (Twentieth Century Classics)
0140184953,Graham Greene,The End of the Affair (Twentieth Century Classics)
0140184961,Graham Greene,The Heart of the Matter (Twentieth Century Classics)
0140184996,Graham Greene,The Power and the Glory (Twentieth Century Classics S.)
0140185003,Graham Greene,The Quiet American (Penguin Twentieth Century Classics)
0140185011,Graham Greene,Travels With My Aunt (Twentieth Century Classics)
0140185046,Franz Kafka,The Castle (Penguin Twentieth Century Classics)
0140185070,James Hanley,The Furys (Twentieth-Century Classics)
0140185135,Joseph Conrad,"Youth, Heart of Darkness, the End of the Tether (Penguin Great Books of the 20th Century)"
0140185151,Bernard Malamud,The Fixer (Penguin Twentieth-Century Classics)
0140185216,Jack Kerouac,On the Road (Penguin 20th Century Classics)
0140185224,W. Somerset Maugham,Of Human Bondage (Penguin Twentieth-Century Classics)
0140185232,W. Somerset Maugham,The Razor's Edge (Penguin Twentieth-Century Classics)
0140185275,Patrick White,The Vivisector (20th Century Classics)
0140185305,Graham Greene,The Man Within (Penguin Twentieth-Century Classics)
0140185321,Graham Greene,Stamboul Train: An Entertainment (Penguin Twentieth-Century Classics)
014018533X,Graham Greene,The Third Man and the Fallen Idol (Penguin Twentieth-Century Classics)
0140185356,Graham Greene,Monsignor Quixote
0140185364,Graham Greene,Ministry of Fear (Penguin Twentieth Century Classics)
0140185372,Graham Greene,May We Borrow Your Husband? and Other Comedies of the Sexual Life (Penguin Twentieth-Century Classics)
0140185399,Graham Greene,A Burnt-Out Case (Twentieth Century Classics)
0140185402,Graham Greene,A Gun for Sale (20th Century Classics)
0140185429,Graham Greene,Loser Takes All (Penguin Twentieth-Century Classics)
0140185445,R.K. Narayan,Under the Banyan Tree and Other Stories
014018547X,R.K. Narayan,The Guide (Penguin Twentieth-Century Classics)
0140185488,R.K. Narayan,The Man-Eater of Malgudi (Twentieth-Century Classics)
0140185496,R. K. Narayan,The Painter of Signs (Penguin Twentieth Century Classics S.)
014018550X,R.K. Narayan,The Vendor of Sweets (Penguin Twentieth-Century Classics)
0140185518,Graham Greene,England Made Me (Penguin Twentieth-Century Classics)
0140185534,James Joyce,Portrait of the Artist as a Young Man (Twentieth Century Classics S.)
0140185542,James Joyce,Dubliners (Twentieth Century Classics S.)
0140185585,James Joyce,Ulysses
0140185631,Virginia Woolf,The Voyage Out (Twentieth Century Classics)
0140185682,Virginia Woolf,Night and Day (Penguin Twentieth Century Classics)
0140185828,Patrick White,The Cockatoos: Shorter Novels and Stories (Twentieth-Century Classics)
0140185844,Patrick White,The Tree of Man (Penguin Twentieth Century Classics)
0140185852,Yevgeny Ivanovich Zamyatin,We (Twentieth-Century Classics)
0140185887,W. Somerset Maugham,Cakes and Ale (Penguin Twentieth-Century Classics)
0140185895,W. Somerset Maugham,Collected Short Stories (Penguin Twentieth-Century Classics)
0140185917,W. Somerset Maugham,"Collected Short Stories, Volume 3 (Penguin Twentieth-Century Classics)"
0140185941,W. Somerset Maugham,Mrs. Craddock (Penguin Twentieth-Century Classics)
014018595X,W. Somerset Maugham,The Magician
0140185976,W. Somerset Maugham,Moon and Sixpence (Penguin Twentieth-Century Classics)
0140185992,W. Somerset Maugham,The Painted Veil (Penguin Twentieth Century Classics)
014018600X,W. Somerset Maugham,Summing Up
0140186042,V. S. Naipaul,A House for Mr. Biswas (Twentieth-Century Classics)
0140186107,Patrick White,A Fringe of Leaves (Penguin Twentieth-Century Classics)
0140186123,Graham Greene,Collected Short Stories (Penguin Twentieth Century Classics)
0140186204,Edith Wharton,"\Muse's Tragedy\"" and Other Stories (Penguin Twentieth Century Classics S.)"""
0140186247,Tadeusz Borowski,"This Way for the Gas, Ladies and Gentlemen (Penguin Twentieth-Century Classics)"
0140186301,Kingsley Amis,Lucky Jim (Twentieth-Century Classics)
0140186409,John Steinbeck,The Grapes of Wrath (20th Century Classics)
0140186417,John Steinbeck,In Dubious Battle (20th Century Classics)
0140186425,John Steinbeck,Of Mice and Men (Twentieth-Century Classics)
0140186476,James Joyce,Dubliners (Twentieth-Century Classics)
0140186484,Pablo Neruda,Twenty Love Poems: And a Song of Despair (Twentieth Century Classics)
0140186506,Hannah Arendt,Between Past and Future (20th Century Classics)
0140186514,Jack London,"The Call of the Wild, White Fang and Other Stories (Twentieth-Century Classics)"
0140186522,Joseph Conrad,Heart of Darkness: With the Congo Diary (Penguin Twentieth-Century Classics)
0140186549,Joseph Conrad,Chance: A Tale in Two Parts (20th Century Classics)
0140186557,Sherwood Anderson,"Winesburg, Ohio (20th Century Classics)"
0140186778,Jack London,"The Assassination Bureau, Ltd (Twentieth-Century Classics)"
0140186794,Edith Wharton,Summer (Twentieth-Century Classics)
0140186808,Mulk Raj Anand,Coolie (Penguin Twentieth-Century Classics)
0140186832,James Joyce,A Portrait of the Artist As a Young Man (Twentieth-Century Classics)
0140186867,Charles Waddell Chesnutt,The Marrow of Tradition (20th Century Classics)
0140186875,Abraham Cahan,The Rise of David Levinsky (Twentieth-Century Classics)
0140186913,Henry Green,Loving/Living/Party Going (Penguin Twentieth-Century Classics)
0140186980,Isaac Bashevis Singer,The Death of Methuselah and Other Stories (Penguin Twentieth Century Classics S.)
0140187006,R. K. Narayan,"Ramayana, The: A Shortened Modern Prose Version of the Indian Epic (Penguin Classic)"
0140187073,William Gaddis,JR (Penguin Twentieth-Century Classics)
0140187243,Heinrich Boll,Billiards at Half-Past Nine (Penguin Twentieth-Century Classics)
014018726X,Heinrich Boll,The Clown (Penguin Twentieth-Century Classics)
0140187286,Heinrich B̦ll,The Lost Honor of Katharina Blum : Or How Violence Develops and Where It Can Lead (Penguin Twentieth Century Classics)
0140187294,Edith Wharton,The House of Mirth (Twentieth-Century Classics)
0140187316,Edith Wharton,The Reef (Twentieth-Century Classics)
0140187367,Edith Wharton,Ethan Frome (Twentieth-Century Classics)
0140187375,John Steinbeck,Cannery Row (Twentieth-Century Classics)
0140187383,John Steinbeck,The Pearl (Twentieth-Century Classics)
0140187405,John Steinbeck,Tortilla Flat (Penguin Twentieth-Century Classics)
0140187413,John Steinbeck,Travels with Charley in Search of America (Penguin Twentieth-Century Classics)
0140187421,John Steinbeck,Burning Bright: A Play in Story Form (Penguin Twentieth Century Classics)
0140187448,John Steinbeck,The Log from the Sea of Cortez (Penguin Great Books of the 20th Century)
0140187456,John Steinbeck,The Long Valley (Twentieth Century Classics Series)
0140187464,John Steinbeck,The Moon Is Down (Twentieth-Century Classics)
0140187472,John Steinbeck,Once There Was a War (Penguin Twentieth-Century Classics)
0140187480,John Steinbeck,The Pastures of Heaven (Twentieth-Century Classics)
0140187499,John Steinbeck,The Short Reign of Pippin IV: A Fabrication (Twentieth Century Classics)
0140187502,John Steinbeck,Sweet Thursday (Twentieth-Century Classics)
0140187510,John Steinbeck,To a God Unknown (Twentieth Century Classics Series)
0140187529,John Steinbeck,The Wayward Bus (Penguin Great Books of the 20th Century)
0140187537,John Steinbeck,The Winter of Our Discontent (Penguin Twentieth-Century Classics)
0140187642,Willa Cather,My Antonia (Twentieth-Century Classics)
0140187650,Hannah Arendt,Eichmann in Jerusalem: A Report on the Banality of Evil
0140187707,Frank Norris,The Octopus: A Story of California (Twentieth Century Classics)
0140187723,Jack London,Martin Eden (Penguin American Library)
0140187758,Willa Cather,O Pioneers! (Penguin Twentieth-Century Classics)
0140187766,Malcolm Cowley,Exile's Return: A Literary Odyssey of the 1920s (Penguin Twentieth-Century Classics)
0140187804,D. H. Lawrence,The Prussian Officer and Other Stories (Penguin Twentieth-Century Classics)
0140187812,D. H. Lawrence,Apocalypse and the Writings on Revelation (Penguin Twentieth-Century Classics)
0140187863,D. H. Lawrence,Lady Chatterley's Lover (Twentieth-Century Classics)
0140187952,Thorstein Veblen,Theory of the Leisure Class (Penguin Classics)
0140188088,D. H. Lawrence,The Lost Girl (Twentieth Century Classics)
0140188134,D. H. Lawrence,The Rainbow (Twentieth Century Classics Series)
0140188169,D. H. Lawrence,Women in Love (Penguin Twentieth-Century Classics)
0140188177,D. H. Lawrence,The Boy in the Bush (Twentieth Century Classics)
0140188185,D. H. Lawrence,Love Among the Haystacks and Other Stories (Penguin Twentieth-Century Classics)
0140188266,Shiva Naipaul,North of South: An African Journey (Penguin Twentieth-Century Classics)
0140188282,Theodore Dreiser,Sister Carrie (Penguin Twentieth Century Classics)
0140188290,Sarat Austin,Of Mice &amp; Men
0140188320,D. H. Lawrence,Sons and Lovers (Twentieth-Century Classics)
0140188444,Vera Brittain,Testament of Youth: An Autobiographical Study of the Years 1900-1925 (Penguin Twentieth-Century Classics)
0140188479,Rebecca West,Black Lamb and Grey Falcon: A Journey Through Yugoslavia (Twentieth-Century Classics)
0140188509,Flora Thompson,Lark Rise to Candleford: A Trilogy (Penguin Twentieth-Century Classics)
0140188517,Marianne Moore,Complete Poems (Twentieth-Century Classics)
0140188525,L. P. Hartley,The Go-Between (Penguin Classics)
0140188592,Thomas Pynchon,Gravity's Rainbow (Penguin Twentieth-Century Classics)
0140188800,Katherine Mansfield,The Garden Party and Other Stories (Penguin Twentieth-Century Classics)
0140188932,Primo Levi,"If Not Now, When? (Penguin Twentieth-Century Classics)"
0140189025,Sinclair Lewis,Babbitt (Penguin Twentieth Century Classics)
014018922X,Luigi Pirandello,Six Characters in Search of an Author and Other Plays (Twentieth Century Classics)
0140189300,Richard Farina,Been Down So Long It Looks Like Up to Me (Twentieth-Century Classics)
0140189351,Saul Bellow,Dangling Man (Penguin Twentieth-Century Classics)
014018936X,Saul Bellow,Mr. Sammler's Planet (Penguin Twentieth Century Classics)
0140189378,Saul Bellow,Seize the Day (Penguin Twentieth Century Classics)
0140189394,Dorothy Parker,Complete Stories (Penguin Twentieth Century Classics)
0140189416,Saul Bellow,The Adventures of Augie March (Penguin Great Books of the 20th Century)
0140189424,Saul Bellow,Henderson the Rain King (Penguin Twentieth-Century Classics)
0140189432,Saul Bellow,Herzog (Penguin Twentieth-Century Classics)
0140189440,Saul Bellow,Humboldt's Gift (Penguin Twentieth-Century Classics)
0140189459,Saul Bellow,Mosby's Memoirs and Other Stories (Penguin Twentieth Century Classics)
0140189645,Arthur Miller,The Crucible: A Play in Four Acts (Twentieth-Century Classics)
014018970X,Edith Wharton,The Age of Innocence (Penguin Twentieth-Century Classics)
0140189734,D. H. Lawrence,Mr. Noon (Penguin Twentieth-Century Classics)
0140189769,F. Scott Fitzgerald,This Side of Paradise (Penguin Twentieth-Century Classics)
014018998X,W. E. B. Du Bois,The Souls of Black Folk (Penguin Classics)
0140190007,Susan Curtis,Neal's Yard Natural Remedies (Arkana S.)
0140190023,Gregory Szanto,Astrotherapy: Astrology and the Realization of the Self (Arkana S.)
0140190090,E. A. Wallis Budge,The Book of the Dead (Arkana S.)
0140190198,Sir E.A.Wallis Budge,Egyptian Magic (Arkana S.)
0140190341,Kyriacos C. Markides,The Magus of Strovolos: The Extraordinary World of a Spiritual Healer (Arkana S.)
0140190376,G. I. Gurdjieff,Meetings With Remarkable Men (Arkana S.)
0140190430,D.E. Harding,On Having No Head: Zen and the Re-Discovery of the Obvious (Arkana S.)
0140190562,Nevill Drury,Shaman and the Magician (Arkana S.)
